ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:27:46.142,6.196,0.423697,-0.075848,-0.174512,-27.317659,0.318809,-5.290000,17.750000,53.000000,16.000000,-21.000000,-15.000000,1329.000000,4.000000,13.300000,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.253,6.307,0.292572,-0.075848,-0.174512,-17.451236,0.220145,-5.290000,17.750000,53.000000,16.000000,-21.000000,-15.000000,1329.000000,4.000000,13.300000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.361,6.415,0.457240,0.022816,-0.174512,-17.451236,0.220145,9.840000,114.000000,83.000000,25.000000,-11.000000,-1.000000,2077.000000,6.000000,20.799999,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:46.475,6.529,0.662166,0.022816,-0.174512,-27.317659,0.318809,9.840000,114.000000,83.000000,25.000000,-11.000000,-1.000000,2077.000000,6.000000,20.799999,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.578,6.632,0.647445,0.022816,-0.174512,-17.451236,0.220145,35.040000,305.750000,118.000000,35.000000,1.000000,16.000000,2941.000000,9.000000,29.400000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.689,6.743,0.937617,0.220145,0.022816,-7.584813,0.318809,35.040000,305.750000,118.000000,35.000000,1.000000,16.000000,2941.000000,9.000000,29.400000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.802,6.856,1.239210,-0.075848,-0.075848,-17.451236,0.318809,70.110000,606.750000,156.000000,47.000000,14.000000,34.000000,3887.000000,12.000000,38.900002,10.000000,11.000000,12.000000,27.210000,27.590000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.907,6.961,1.239210,-0.470505,-0.371841,-27.317659,0.318809,70.110000,606.750000,156.000000,47.000000,14.000000,34.000000,3887.000000,12.000000,38.900002,10.000000,11.000000,12.000000,27.210000,27.590000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:47.016,7.070,0.592581,0.022816,-0.174512,-37.184082,0.121480,118.640000,1005.750000,195.000000,59.000000,28.000000,53.000000,4878.000000,15.000000,48.799999,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:47.127,7.181,1.183717,0.022816,-0.075848,-17.451236,0.220145,143.040000,1277.750000,215.000000,65.000000,35.000000,62.000000,5377.000000,16.000000,53.799999,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:47.237,7.291,0.122682,-0.075848,-0.174512,-17.451236,0.022816,143.040000,1277.750000,215.000000,65.000000,35.000000,62.000000,5377.000000,16.000000,53.799999,10.000000,11.000000,12.000000,27.210000,27.590000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:47.345,7.399,0.145110,-0.075848,-0.075848,-27.317659,0.022816,92.000000,1830.750000,255.000000,76.000000,49.000000,81.000000,6360.000000,19.000000,63.599998,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:47.457,7.511,0.145110,0.022816,-0.075848,-27.317659,0.022816,92.000000,1830.750000,255.000000,76.000000,49.000000,81.000000,6360.000000,19.000000,63.599998,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:47.565,7.619,1.604634,0.022816,-0.174512,-27.317659,0.220145,50.640000,2432.000000,292.000000,87.000000,62.000000,-158.000000,7289.000000,22.000000,72.900002,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:47.677,7.731,0.885470,0.022816,-0.075848,-17.451236,0.121480,50.640000,2432.000000,292.000000,87.000000,62.000000,-158.000000,7289.000000,22.000000,72.900002,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:47.781,7.835,1.789115,-0.075848,-0.174512,-37.184082,0.220145,22.710000,3117.750000,325.000000,98.000000,74.000000,-142.000000,8127.000000,24.000000,81.300003,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:47.891,7.945,1.789115,-0.075848,-0.174512,-37.184082,0.220145,22.710000,3117.750000,325.000000,98.000000,74.000000,-142.000000,8127.000000,24.000000,81.300003,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
