ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Torque,engine_force,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:33:37.641,3.199,1.646647,155.990000,1137.750000,207.000000,62.000000,32.000000,58.000000,5165.000000,15.000000,51.700001,0.022816,-0.075848,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-27.317659,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:37.752,3.310,1.354990,100.560000,1704.000000,246.000000,74.000000,46.000000,77.000000,6155.000000,18.000000,61.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.860,3.418,1.354990,100.560000,1704.000000,246.000000,74.000000,46.000000,77.000000,6155.000000,18.000000,61.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.969,3.527,1.562586,59.190000,2334.000000,284.000000,85.000000,59.000000,-161.000000,7098.000000,21.000000,71.000000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:38.079,3.637,1.562586,59.190000,2334.000000,284.000000,85.000000,59.000000,-161.000000,7098.000000,21.000000,71.000000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:38.190,3.748,0.966741,27.990000,2952.000000,319.000000,95.000000,71.000000,-145.000000,7958.000000,24.000000,79.599998,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:38.298,3.856,2.537080,27.990000,2952.000000,319.000000,95.000000,71.000000,-145.000000,7958.000000,24.000000,79.599998,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:38.408,3.966,2.660778,16.560000,3288.000000,334.000000,100.000000,77.000000,-137.000000,8346.000000,25.000000,83.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:38.518,4.076,2.660778,16.560000,3288.000000,334.000000,100.000000,77.000000,-137.000000,8346.000000,25.000000,83.500000,-0.273177,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:38.627,4.185,1.095388,1.110000,3888.000000,361.000000,108.000000,86.000000,-125.000000,9017.000000,25.500000,90.199997,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-47.050506,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:38.738,4.296,1.095388,1.110000,3888.000000,361.000000,108.000000,86.000000,-125.000000,9017.000000,25.500000,90.199997,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-47.050506,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:38.844,4.402,1.157586,-8.010000,4337.750000,381.000000,114.000000,-163.000000,-115.000000,9529.000000,25.500000,95.300003,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:38.954,4.512,2.170405,-12.490000,4674.000000,395.000000,118.000000,-158.000000,-109.000000,9859.000000,25.500000,98.599998,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.065,4.623,3.143136,-12.490000,4674.000000,395.000000,118.000000,-158.000000,-109.000000,9859.000000,25.500000,98.599998,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:39.174,4.732,2.200565,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9996.000000,25.500000,100.000000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.288,4.846,2.200565,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9996.000000,25.500000,100.000000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.394,4.952,2.186916,-12.960000,4742.750000,398.000000,119.000000,-157.000000,-107.000000,9934.000000,25.500000,99.300003,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.500,5.058,2.186916,-12.960000,4742.750000,398.000000,119.000000,-157.000000,-107.000000,9934.000000,25.500000,99.300003,0.417473,0.121480,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.610,5.168,3.084475,-10.410000,4470.750000,387.000000,116.000000,-161.000000,-112.000000,9675.000000,25.500000,96.800003,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:39.719,5.277,4.993628,-10.410000,4470.750000,387.000000,116.000000,-161.000000,-112.000000,9675.000000,25.500000,96.800003,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.516137,20.000000,21.000000,22.000000,23.000000
