ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
21:47:13.127,6.000,1.298508,-0.174512,-0.273177,79.760000,657.750000,163.000000,49.000000,17.000000,37.000000,4073.000000,12.000000,40.700001,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.238,6.111,0.896649,-0.174512,-0.174512,79.760000,657.750000,163.000000,49.000000,17.000000,37.000000,4073.000000,12.000000,40.700001,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.345,6.218,1.143567,-0.075848,-0.273177,57.440000,488.000000,144.000000,43.000000,10.000000,28.000000,3587.000000,11.000000,35.900002,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.457,6.330,1.143567,-0.075848,-0.273177,57.440000,488.000000,144.000000,43.000000,10.000000,28.000000,3587.000000,11.000000,35.900002,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.564,6.437,0.848669,-0.075848,-0.174512,25.310000,237.750000,107.000000,32.000000,-3.000000,11.000000,2662.000000,8.000000,26.600000,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.672,6.545,0.403085,-0.075848,-0.273177,3.840000,81.750000,73.000000,22.000000,-14.000000,-5.000000,1831.000000,5.000000,18.299999,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:13.785,6.658,0.222430,-0.075848,-0.174512,3.840000,81.750000,73.000000,22.000000,-14.000000,-5.000000,1831.000000,5.000000,18.299999,-37.184082,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.550000
21:47:13.891,6.764,0.358979,0.318809,0.022816,-8.640000,2.000000,45.000000,14.000000,-24.000000,-19.000000,1126.000000,3.000000,11.300000,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:14.002,6.875,0.581171,-0.174512,-0.273177,-8.640000,2.000000,45.000000,14.000000,-24.000000,-19.000000,1126.000000,3.000000,11.300000,-27.317659,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.550000
21:47:14.112,6.985,0.126583,-0.075848,-0.075848,-15.010000,-18.000000,23.000000,7.000000,-32.000000,-29.000000,575.000000,2.000000,5.700000,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.550000
