ReadableTime,RelativeTime(s),engine_power,Dev1_Force_1,Dev1_Force_2,Dev1_Torque,Dev1_engine_force,Speed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
19:42:04.832,3.431,0.846016,-0.075848,-0.273177,-47.050506,0.220145,3843.000000,68.240000,582.000000,154.000000,46.000000,14.000000,33.000000,12.000000,38.400002,26.950000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.939,3.538,0.110247,-0.174512,-0.371841,-56.916929,0.022816,4832.000000,116.310000,1005.750000,194.000000,58.000000,28.000000,52.000000,14.000000,48.299999,26.950000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.048,3.647,1.540484,-0.075848,-0.273177,-47.050506,0.318809,4832.000000,116.310000,1005.750000,194.000000,58.000000,28.000000,52.000000,14.000000,48.299999,26.950000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.157,3.756,1.858336,-0.075848,-0.273177,-47.050506,0.318809,5829.000000,118.640000,1502.750000,233.000000,70.000000,42.000000,71.000000,17.000000,58.299999,26.950000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.266,3.865,1.283223,-0.273177,-0.273177,-47.050506,0.220145,5829.000000,118.640000,1502.750000,233.000000,70.000000,42.000000,71.000000,17.000000,58.299999,26.950000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.378,3.977,1.495222,-0.075848,-0.273177,-47.050506,0.220145,6792.000000,72.000000,2097.750000,272.000000,82.000000,55.000000,-167.000000,20.000000,67.900002,26.950000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.490,4.089,0.825094,-0.075848,-0.174512,-37.184082,0.121480,6792.000000,72.000000,2097.750000,272.000000,82.000000,55.000000,-167.000000,20.000000,67.900002,26.950000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.598,4.197,1.691371,-0.075848,-0.273177,-47.050506,0.220145,7683.000000,36.510000,2738.000000,308.000000,92.000000,68.000000,-150.000000,23.000000,76.800003,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.703,4.302,1.691371,-0.075848,-0.273177,-37.184082,0.220145,7683.000000,36.510000,2738.000000,308.000000,92.000000,68.000000,-150.000000,23.000000,76.800003,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:05.816,4.415,1.781190,-0.075848,-0.273177,-27.317659,0.220145,8091.000000,24.000000,3062.000000,324.000000,97.000000,73.000000,-142.000000,24.000000,80.900002,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
