ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
19:58:35.455,3.355,1.799462,21.440000,3117.750000,327.000000,98.000000,74.000000,-141.000000,8174.000000,25.000000,81.699997,-0.273177,-0.371841,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.564,3.464,1.799462,21.440000,3117.750000,327.000000,98.000000,74.000000,-141.000000,8174.000000,25.000000,81.699997,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.675,3.575,2.830385,3.840000,3764.000000,355.000000,107.000000,84.000000,-127.000000,8878.000000,25.500000,88.800003,-0.075848,-0.174512,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.782,3.682,3.005729,-6.690000,4272.000000,377.000000,113.000000,-164.000000,-117.000000,9428.000000,25.500000,94.300003,-0.075848,-0.174512,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.650000
19:58:35.894,3.794,2.075523,-6.690000,4272.000000,377.000000,113.000000,-164.000000,-117.000000,9428.000000,25.500000,94.300003,-0.075848,-0.273177,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.000,3.900,2.157637,-11.490000,4605.750000,392.000000,118.000000,-159.000000,-110.000000,9801.000000,25.500000,98.000000,-0.075848,-0.174512,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.110,4.010,2.157637,-11.490000,4605.750000,392.000000,118.000000,-159.000000,-110.000000,9801.000000,25.500000,98.000000,-0.075848,-0.273177,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.220,4.120,2.197703,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9983.000000,25.500000,99.800003,-0.075848,-0.174512,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.331,4.231,2.197703,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9983.000000,25.500000,99.800003,-0.075848,-0.174512,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.440,4.340,4.160536,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,9966.000000,25.500000,99.699997,-0.075848,-0.174512,-27.317659,0.417473,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
