ReadableTime,RelativeTime(s),Dev1_Strain_Gauge_1,Dev1_Strain_Gauge_2,Dev1_Temperature_TC1,Dev1_Vibration_X,Dev1_Vibration_Y,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
23:44:35.814,4.237,3.531426,-9.100041,-0.008726,-0.018592,-0.018592,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.922,4.345,2.067245,-9.100018,-0.003792,-0.018592,-0.023525,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.032,4.455,1.581132,-9.100064,-0.003792,-0.018592,-0.023525,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.141,4.564,1.581132,-9.100041,-0.003792,-0.018592,-0.028458,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.252,4.675,2.067245,-9.100041,-0.003792,-0.018592,-0.028458,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.359,4.782,1.581132,-9.100041,-0.008726,-0.023525,-0.033392,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.468,4.891,1.581132,-9.100041,-0.003792,-0.018592,-0.023525,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.578,5.001,4.512415,-9.100018,-0.003792,-0.023525,-0.033392,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.688,5.111,1.581132,-9.100087,-0.008726,-0.023525,-0.028458,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.798,5.221,1.581132,-9.100041,0.001141,-0.018592,-0.028458,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:36.909,5.332,2.067245,-9.100064,-0.003792,-0.018592,-0.028458,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.016,5.439,1.581132,-9.100041,-0.003792,-0.018592,-0.023525,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.126,5.549,1.581132,-9.100064,-0.008726,-0.028458,-0.033392,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.233,5.656,2.554332,-9.100041,-0.003792,-0.018592,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.346,5.769,0.611825,-9.099995,0.006074,-0.018592,-0.023525,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
